Brand,Model,Processor,RAM (GB),Storage (GB),Screen Size (inches),Graphics Card,Operating System,Weight (kg),Battery Life (hours),Price ($),Warranty (years)
Asus,Model 2225,AMD Ryzen 7,8,256,13.3,NVIDIA RTX 3060,Windows 10,1.47,8.1,1834.3,1
MSI,Model 2226,Intel i9,8,256,13.3,NVIDIA GTX 1650,Windows 10,2.36,13.8,2273.94,2
Dell,Model 2227,Intel i5,16,512,17.0,Intel UHD,Windows 10,1.71,10.8,1353.34,1
Dell,Model 2228,Intel i5,32,1024,14.0,Intel UHD,macOS,1.81,7.8,1259.22,1
Lenovo,Model 2229,AMD Ryzen 5,64,2048,13.3,Intel UHD,Linux,1.88,4.0,2001.13,2
Acer,Model 2230,AMD Ryzen 7,16,512,15.6,Intel UHD,Linux,1.16,6.5,1320.21,3
Asus,Model 2231,Intel i5,32,1024,13.3,AMD Radeon,macOS,3.46,9.5,1678.29,2
HP,Model 2232,Intel i5,16,256,15.6,Intel UHD,Linux,1.08,6.3,1139.18,3
Apple,Model 2233,Intel i9,32,1024,17.0,NVIDIA RTX 3060,macOS,2.66,5.7,2967.59,1
Dell,Model 2234,Intel i7,16,256,14.0,Intel UHD,Windows 11,1.93,9.3,1407.02,2
Razer,Model 2235,AMD Ryzen 5,32,256,13.3,NVIDIA RTX 3070,Windows 11,2.62,5.0,2545.21,3
Apple,Model 2236,AMD Ryzen 5,16,512,14.0,Intel UHD,Linux,1.89,12.6,2055.34,1
Apple,Model 2237,Intel i7,32,256,13.3,NVIDIA GTX 1650,Windows 11,2.68,8.8,2197.11,1
Lenovo,Model 2238,Intel i5,16,512,15.6,NVIDIA RTX 3060,Windows 11,2.82,9.9,1496.44,1
Asus,Model 2239,Intel i9,64,1024,14.0,NVIDIA RTX 3060,Windows 11,2.73,4.8,2566.35,3
Dell,Model 2240,Intel i9,64,1024,13.3,AMD Radeon,Windows 10,1.28,6.9,2404.78,3
Apple,Model 2241,AMD Ryzen 5,8,256,17.0,NVIDIA RTX 3070,Windows 11,2.64,7.9,2647.96,3
Dell,Model 2242,Intel i9,32,512,15.6,NVIDIA RTX 3060,Windows 10,1.7,12.7,2568.77,1
HP,Model 2243,AMD Ryzen 9,16,256,14.0,NVIDIA GTX 1650,macOS,1.07,12.2,1656.96,3
Lenovo,Model 2244,Intel i7,32,512,13.3,Intel UHD,macOS,2.04,5.7,1775.28,2
HP,Model 2245,Intel i5,64,512,14.0,NVIDIA RTX 3060,macOS,2.08,10.4,2212.25,3
Dell,Model 2246,AMD Ryzen 9,32,512,13.3,NVIDIA GTX 1650,macOS,2.17,5.9,1820.68,3
MSI,Model 2247,Intel i7,16,1024,15.6,Intel UHD,macOS,2.76,14.9,1712.15,1
Razer,Model 2248,AMD Ryzen 7,32,512,17.0,AMD Radeon,Windows 11,1.77,14.4,2319.63,2
Dell,Model 2249,AMD Ryzen 5,16,1024,15.6,NVIDIA RTX 3060,Windows 11,1.79,9.8,2087.25,2
Asus,Model 2250,Intel i9,64,512,14.0,NVIDIA RTX 3060,Windows 11,1.15,11.4,2454.67,2
Apple,Model 2251,AMD Ryzen 7,64,1024,14.0,NVIDIA GTX 1650,macOS,2.72,12.6,3107.47,3
Apple,Model 2252,Intel i9,64,2048,13.3,NVIDIA RTX 3070,macOS,2.42,11.7,3201.22,1
HP,Model 2253,AMD Ryzen 9,8,1024,15.6,AMD Radeon,Windows 10,1.87,11.4,1878.99,3
Razer,Model 2254,Intel i5,64,1024,13.3,NVIDIA RTX 3070,Linux,2.76,14.5,2555.84,1
Lenovo,Model 2255,Intel i5,32,256,15.6,NVIDIA RTX 3060,Windows 11,2.34,10.2,1800.34,2
MSI,Model 2256,Intel i5,8,512,14.0,NVIDIA RTX 3070,Linux,2.17,10.6,2281.03,3
Acer,Model 2257,Intel i9,64,2048,13.3,Intel UHD,macOS,2.28,13.2,2033.89,1
Razer,Model 2258,AMD Ryzen 7,32,256,13.3,AMD Radeon,macOS,2.59,11.0,1836.17,3
Apple,Model 2259,Intel i5,32,512,15.6,NVIDIA RTX 3070,macOS,2.65,11.8,2650.64,1
Asus,Model 2260,AMD Ryzen 7,32,2048,17.0,Intel UHD,Linux,1.72,5.8,1916.91,2
Razer,Model 2261,Intel i9,16,2048,15.6,NVIDIA GTX 1650,Windows 10,1.35,7.5,2721.34,3
HP,Model 2262,AMD Ryzen 9,8,2048,17.0,NVIDIA RTX 3070,macOS,1.39,4.8,2492.97,2
HP,Model 2263,AMD Ryzen 7,32,512,15.6,AMD Radeon,Windows 10,2.6,9.1,1671.64,3
Acer,Model 2264,AMD Ryzen 9,16,2048,14.0,Intel UHD,Windows 10,3.18,8.5,1772.53,3
Asus,Model 2265,Intel i9,64,2048,13.3,NVIDIA RTX 3070,Windows 11,2.02,15.0,2963.28,1
Lenovo,Model 2266,Intel i9,32,256,15.6,NVIDIA GTX 1650,Linux,1.42,10.3,1592.31,1
Razer,Model 2267,AMD Ryzen 5,16,1024,14.0,NVIDIA RTX 3070,macOS,2.89,12.4,2434.95,1
Asus,Model 2268,Intel i9,32,512,15.6,Intel UHD,Windows 10,3.08,7.0,1680.97,2
Lenovo,Model 2269,Intel i9,8,1024,13.3,NVIDIA RTX 3070,Linux,3.2,13.0,2118.37,2
Asus,Model 2270,Intel i7,8,256,15.6,AMD Radeon,Linux,2.52,10.4,1676.75,3
Asus,Model 2271,Intel i5,64,1024,17.0,NVIDIA RTX 3060,macOS,3.15,11.4,2032.52,1
Dell,Model 2272,AMD Ryzen 5,32,2048,13.3,Intel UHD,Windows 11,1.04,6.5,1713.74,2
HP,Model 2273,AMD Ryzen 5,16,2048,17.0,Intel UHD,Windows 11,1.27,9.6,1828.52,3
Razer,Model 2274,AMD Ryzen 5,64,512,14.0,Intel UHD,Windows 10,1.23,10.6,2145.51,2
Asus,Model 2275,Intel i7,32,512,14.0,Intel UHD,Windows 11,2.78,10.1,1545.23,3
Razer,Model 2276,AMD Ryzen 9,64,512,15.6,NVIDIA RTX 3070,Windows 11,1.17,14.0,3120.91,1
Acer,Model 2277,Intel i9,16,256,17.0,AMD Radeon,Windows 11,2.24,13.8,1606.48,3
Asus,Model 2278,Intel i5,64,512,17.0,NVIDIA GTX 1650,Linux,2.18,14.7,2167.05,3
Apple,Model 2279,AMD Ryzen 7,64,256,13.3,AMD Radeon,macOS,1.78,11.0,2634.59,1
HP,Model 2280,AMD Ryzen 9,64,2048,17.0,Intel UHD,Linux,3.18,14.7,1998.63,1
Apple,Model 2281,Intel i9,32,1024,17.0,NVIDIA RTX 3070,Linux,1.43,13.0,3190.77,3
Razer,Model 2282,Intel i7,16,2048,13.3,NVIDIA RTX 3070,macOS,1.88,6.2,2878.12,2
Razer,Model 2283,Intel i9,8,2048,13.3,Intel UHD,Linux,2.94,8.1,2048.93,1
HP,Model 2284,Intel i9,32,2048,17.0,NVIDIA RTX 3070,Windows 10,1.08,5.9,2633.84,3
Razer,Model 2285,Intel i7,8,512,15.6,Intel UHD,Windows 10,2.68,3.1,1866.41,1
Apple,Model 2286,AMD Ryzen 5,8,512,13.3,AMD Radeon,Linux,3.04,5.3,2037.21,1
Asus,Model 2287,AMD Ryzen 5,32,512,13.3,NVIDIA RTX 3060,Windows 11,3.33,3.0,1652.87,2
Asus,Model 2288,Intel i5,32,1024,17.0,NVIDIA RTX 3070,Linux,3.19,11.6,1911.37,1
Dell,Model 2289,Intel i5,16,512,17.0,Intel UHD,Windows 11,1.8,8.1,1762.66,3
Acer,Model 2290,AMD Ryzen 5,16,256,13.3,Intel UHD,Linux,2.47,6.8,1451.43,3
Razer,Model 2291,AMD Ryzen 9,64,2048,17.0,NVIDIA RTX 3070,Windows 10,1.19,12.1,3394.93,1
Apple,Model 2292,AMD Ryzen 7,8,1024,13.3,NVIDIA GTX 1650,Windows 11,1.64,13.0,2330.8,1
Razer,Model 2293,Intel i9,16,1024,15.6,Intel UHD,Windows 10,1.24,14.7,2273.26,2
Razer,Model 2294,AMD Ryzen 7,64,1024,15.6,NVIDIA RTX 3070,Linux,1.79,10.7,2871.93,2
Lenovo,Model 2295,Intel i9,16,1024,13.3,Intel UHD,macOS,3.19,8.5,1705.88,2
Dell,Model 2296,AMD Ryzen 5,32,1024,13.3,NVIDIA GTX 1650,Windows 11,1.87,6.7,1919.06,3
Apple,Model 2297,Intel i5,16,256,14.0,NVIDIA RTX 3060,Windows 11,2.4,5.7,2476.14,2
Apple,Model 2298,AMD Ryzen 9,8,2048,14.0,NVIDIA GTX 1650,Linux,2.08,5.6,2704.57,3
Razer,Model 2299,Intel i5,16,1024,17.0,AMD Radeon,Linux,2.15,7.9,1808.64,2
Dell,Model 2300,AMD Ryzen 7,8,2048,17.0,NVIDIA RTX 3070,Windows 11,3.42,14.9,2560.69,3
Asus,Model 2301,Intel i5,32,512,13.3,NVIDIA GTX 1650,macOS,1.74,3.0,1279.49,1
Apple,Model 2302,AMD Ryzen 5,8,1024,13.3,NVIDIA RTX 3060,Linux,2.57,5.4,2359.2,3
Asus,Model 2303,AMD Ryzen 9,16,1024,14.0,Intel UHD,Linux,2.05,5.3,1551.63,1
Dell,Model 2304,AMD Ryzen 7,64,2048,14.0,NVIDIA RTX 3070,Linux,1.15,11.6,3131.55,3
Asus,Model 2305,AMD Ryzen 9,32,1024,13.3,NVIDIA GTX 1650,macOS,2.22,7.2,2416.29,3
HP,Model 2306,Intel i9,16,1024,15.6,NVIDIA RTX 3060,Windows 11,3.03,8.5,2145.91,1
Lenovo,Model 2307,Intel i5,32,1024,15.6,NVIDIA GTX 1650,Windows 10,1.25,4.8,1671.12,3
MSI,Model 2308,AMD Ryzen 9,32,256,17.0,AMD Radeon,Linux,1.17,7.9,2291.28,3
Apple,Model 2309,Intel i7,16,256,13.3,NVIDIA RTX 3070,macOS,1.38,4.2,2753.35,2
Acer,Model 2310,Intel i5,16,1024,13.3,Intel UHD,Windows 11,2.91,9.4,1079.1,1
Lenovo,Model 2311,Intel i9,64,256,17.0,NVIDIA RTX 3060,Windows 11,2.81,4.2,2465.28,1
MSI,Model 2312,AMD Ryzen 9,32,512,14.0,NVIDIA GTX 1650,macOS,2.41,12.5,2218.41,2
Asus,Model 2313,AMD Ryzen 7,32,1024,14.0,NVIDIA RTX 3070,Linux,2.17,9.8,2254.46,2
Apple,Model 2314,Intel i9,16,512,15.6,NVIDIA GTX 1650,Windows 10,3.22,11.7,2568.39,1
Asus,Model 2315,Intel i7,8,2048,13.3,NVIDIA RTX 3070,Linux,2.92,8.0,2108.64,1
HP,Model 2316,AMD Ryzen 9,16,512,14.0,AMD Radeon,Windows 11,3.03,7.6,1708.44,1
Dell,Model 2317,AMD Ryzen 5,32,2048,15.6,NVIDIA GTX 1650,Windows 10,3.03,4.2,1804.41,2
Apple,Model 2318,Intel i5,16,1024,15.6,AMD Radeon,Linux,2.61,9.3,2124.95,2
MSI,Model 2319,AMD Ryzen 7,64,2048,15.6,NVIDIA RTX 3060,Windows 10,2.15,9.2,2673.18,3
MSI,Model 2320,AMD Ryzen 5,8,2048,14.0,AMD Radeon,macOS,3.16,8.6,1949.73,2
HP,Model 2321,AMD Ryzen 9,16,512,14.0,NVIDIA RTX 3070,Linux,3.32,11.9,2302.34,3
HP,Model 2322,AMD Ryzen 9,64,512,13.3,NVIDIA RTX 3060,Windows 11,1.06,13.0,2581.07,3
Razer,Model 2323,Intel i9,32,512,13.3,NVIDIA GTX 1650,Windows 11,1.13,12.0,2764.77,2
Apple,Model 2324,AMD Ryzen 9,16,1024,15.6,NVIDIA GTX 1650,Windows 10,3.4,4.7,2407.26,2
Asus,Model 2325,AMD Ryzen 7,32,1024,15.6,NVIDIA RTX 3070,macOS,1.69,10.5,2341.81,2
Acer,Model 2326,AMD Ryzen 5,64,512,14.0,Intel UHD,Linux,3.18,4.0,1317.84,2
MSI,Model 2327,AMD Ryzen 7,32,1024,14.0,Intel UHD,macOS,1.97,11.3,1877.24,1
MSI,Model 2328,Intel i7,64,1024,13.3,NVIDIA GTX 1650,macOS,1.3,7.6,2527.93,2
HP,Model 2329,Intel i7,64,2048,13.3,NVIDIA RTX 3070,Windows 10,1.2,4.6,2838.57,3
Lenovo,Model 2330,Intel i5,64,2048,17.0,Intel UHD,Windows 10,1.39,13.3,2064.0,3
HP,Model 2331,Intel i5,16,512,13.3,AMD Radeon,Linux,1.62,10.4,1406.26,1
Acer,Model 2332,Intel i7,32,1024,14.0,NVIDIA GTX 1650,Windows 11,2.22,7.3,1387.62,1
Asus,Model 2333,AMD Ryzen 9,32,2048,15.6,AMD Radeon,Linux,2.75,3.4,1892.65,2
Asus,Model 2334,AMD Ryzen 7,8,256,17.0,NVIDIA RTX 3070,macOS,3.47,9.4,1933.16,1
Lenovo,Model 2335,Intel i7,8,1024,13.3,AMD Radeon,Windows 10,2.1,14.1,1727.38,2
MSI,Model 2336,Intel i5,8,256,13.3,Intel UHD,macOS,2.3,10.2,1584.5,2
HP,Model 2337,Intel i7,8,512,14.0,Intel UHD,Windows 10,2.3,14.7,1511.77,1
Razer,Model 2338,AMD Ryzen 9,32,1024,17.0,NVIDIA RTX 3060,Windows 11,2.35,4.6,2530.66,1
Asus,Model 2339,Intel i7,64,512,13.3,NVIDIA GTX 1650,macOS,2.29,9.8,2016.15,3
Acer,Model 2340,AMD Ryzen 7,64,512,15.6,NVIDIA RTX 3070,Windows 10,1.02,12.6,2358.82,1
Apple,Model 2341,AMD Ryzen 5,16,512,14.0,NVIDIA GTX 1650,Linux,1.0,9.3,2252.45,1
Dell,Model 2342,AMD Ryzen 9,64,512,17.0,AMD Radeon,Linux,1.24,4.1,2169.5,1
Dell,Model 2343,Intel i5,32,512,13.3,NVIDIA RTX 3070,Linux,1.25,10.0,2074.89,3
Dell,Model 2344,AMD Ryzen 7,32,1024,13.3,NVIDIA RTX 3070,macOS,2.76,10.3,1926.7,2
Razer,Model 2345,Intel i7,32,256,17.0,Intel UHD,Windows 10,1.51,11.7,2469.07,3
MSI,Model 2346,Intel i7,16,1024,14.0,AMD Radeon,Windows 10,3.24,12.1,1846.67,1
HP,Model 2347,AMD Ryzen 5,8,1024,17.0,Intel UHD,Windows 10,3.32,12.2,1283.38,1
Lenovo,Model 2348,Intel i5,64,1024,17.0,Intel UHD,macOS,3.44,11.0,1792.02,1
Razer,Model 2349,Intel i5,32,2048,14.0,NVIDIA RTX 3060,Windows 10,3.35,5.6,2364.4,2
Razer,Model 2350,Intel i9,32,2048,13.3,Intel UHD,Windows 11,1.68,7.9,2744.49,3
Asus,Model 2351,Intel i5,8,1024,15.6,NVIDIA GTX 1650,macOS,2.27,12.3,1720.85,3
Apple,Model 2352,AMD Ryzen 5,32,256,14.0,NVIDIA RTX 3070,Windows 11,1.44,14.4,2865.34,2
Razer,Model 2353,Intel i9,64,1024,15.6,Intel UHD,Windows 11,3.02,3.9,2415.41,3
Acer,Model 2354,Intel i9,16,512,13.3,NVIDIA GTX 1650,Linux,3.22,9.4,1794.79,2
Apple,Model 2355,Intel i7,32,2048,17.0,AMD Radeon,macOS,3.13,6.8,2699.19,2
Acer,Model 2356,Intel i7,64,2048,15.6,NVIDIA RTX 3070,Windows 10,2.08,5.7,2483.11,3
MSI,Model 2357,Intel i5,32,1024,13.3,AMD Radeon,Windows 11,2.9,9.1,1972.61,3
HP,Model 2358,Intel i9,8,1024,13.3,NVIDIA GTX 1650,macOS,1.24,10.3,1652.06,2
Dell,Model 2359,Intel i7,32,256,17.0,AMD Radeon,Windows 10,1.1,3.1,1953.2,3
Razer,Model 2360,AMD Ryzen 5,32,256,17.0,AMD Radeon,Linux,2.88,12.4,1980.79,2
HP,Model 2361,Intel i7,16,512,13.3,AMD Radeon,macOS,2.06,12.8,1582.5,3
MSI,Model 2362,AMD Ryzen 9,8,1024,13.3,Intel UHD,macOS,3.49,14.6,1739.65,3
Lenovo,Model 2363,AMD Ryzen 9,8,1024,15.6,Intel UHD,macOS,1.24,5.2,1779.9,3
Lenovo,Model 2364,Intel i7,16,1024,13.3,Intel UHD,Windows 10,3.14,10.1,1484.11,3
MSI,Model 2365,Intel i9,32,2048,13.3,NVIDIA RTX 3070,Windows 11,2.2,8.1,3097.76,3
Acer,Model 2366,Intel i9,64,512,15.6,NVIDIA GTX 1650,Windows 11,3.07,7.0,1857.63,1
Asus,Model 2367,AMD Ryzen 7,8,256,14.0,Intel UHD,macOS,3.04,9.8,1006.7,1
Asus,Model 2368,AMD Ryzen 9,8,2048,15.6,AMD Radeon,macOS,3.29,12.4,1775.12,3
Acer,Model 2369,AMD Ryzen 5,32,2048,15.6,AMD Radeon,Windows 10,1.74,3.3,1895.47,3
Lenovo,Model 2370,Intel i9,32,2048,17.0,AMD Radeon,Linux,3.37,14.6,2219.02,3
Lenovo,Model 2371,Intel i5,8,2048,15.6,AMD Radeon,macOS,1.38,12.7,1566.26,2
Razer,Model 2372,AMD Ryzen 9,32,512,13.3,NVIDIA RTX 3060,macOS,1.2,12.0,2559.8,1
Lenovo,Model 2373,AMD Ryzen 5,64,1024,13.3,NVIDIA RTX 3070,Linux,2.08,12.1,2385.17,2
HP,Model 2374,AMD Ryzen 5,8,256,13.3,NVIDIA GTX 1650,macOS,3.07,7.7,1483.71,1
Lenovo,Model 2375,Intel i9,64,256,14.0,NVIDIA GTX 1650,Windows 11,2.18,12.0,2295.47,1
Apple,Model 2376,AMD Ryzen 5,64,2048,13.3,Intel UHD,macOS,3.07,7.6,2627.43,3
Razer,Model 2377,Intel i9,32,2048,14.0,NVIDIA RTX 3060,Windows 11,2.82,13.8,2793.49,3
Dell,Model 2378,Intel i7,64,512,13.3,NVIDIA GTX 1650,Windows 10,1.52,5.1,2038.48,2
Lenovo,Model 2379,AMD Ryzen 9,32,2048,15.6,NVIDIA RTX 3070,Windows 10,3.37,6.5,2356.94,2
Acer,Model 2380,AMD Ryzen 7,16,256,17.0,AMD Radeon,Windows 11,1.15,9.6,1414.84,3
Dell,Model 2381,Intel i7,32,256,13.3,Intel UHD,Windows 11,3.25,6.8,1543.83,3
HP,Model 2382,AMD Ryzen 9,64,1024,14.0,NVIDIA RTX 3070,Linux,1.76,8.1,2553.27,1
Acer,Model 2383,Intel i9,16,1024,14.0,NVIDIA GTX 1650,Windows 11,2.25,8.9,1652.8,1
Dell,Model 2384,AMD Ryzen 9,32,256,17.0,NVIDIA RTX 3060,Windows 11,2.06,13.3,2311.42,3
Acer,Model 2385,Intel i9,64,256,13.3,Intel UHD,macOS,1.43,9.3,1689.93,1
HP,Model 2386,Intel i7,8,512,15.6,NVIDIA GTX 1650,Linux,1.9,7.3,1631.74,2
Razer,Model 2387,Intel i5,8,512,13.3,Intel UHD,Windows 11,1.48,6.0,1503.97,1
Apple,Model 2388,Intel i5,32,256,13.3,NVIDIA GTX 1650,Windows 11,1.51,7.9,2457.03,3
HP,Model 2389,AMD Ryzen 9,32,2048,17.0,AMD Radeon,Windows 11,1.47,9.2,2242.69,1
HP,Model 2390,Intel i5,8,1024,13.3,NVIDIA RTX 3060,macOS,2.22,12.0,1552.87,3
Acer,Model 2391,Intel i9,64,256,15.6,AMD Radeon,macOS,2.99,4.5,1675.87,1
Razer,Model 2392,AMD Ryzen 5,64,2048,14.0,NVIDIA GTX 1650,macOS,2.42,5.7,2343.42,2
MSI,Model 2393,Intel i9,64,256,17.0,NVIDIA RTX 3070,Windows 10,3.23,7.6,2707.7,2
Asus,Model 2394,AMD Ryzen 5,32,1024,15.6,AMD Radeon,macOS,2.59,7.3,1719.98,3
Lenovo,Model 2395,Intel i7,16,1024,14.0,NVIDIA RTX 3070,Windows 11,2.72,7.7,1855.85,3
Lenovo,Model 2396,AMD Ryzen 7,16,512,17.0,NVIDIA GTX 1650,macOS,2.67,12.5,1592.22,3
Apple,Model 2397,AMD Ryzen 5,16,512,17.0,NVIDIA RTX 3060,macOS,2.12,6.9,2217.91,1
Apple,Model 2398,Intel i5,16,512,14.0,NVIDIA RTX 3070,Linux,2.72,9.0,2447.09,1
Lenovo,Model 2399,Intel i9,16,512,14.0,NVIDIA GTX 1650,Windows 11,1.17,10.5,1760.9,1
Asus,Model 2400,Intel i7,32,1024,15.6,NVIDIA RTX 3070,macOS,3.15,5.8,2054.34,2
Lenovo,Model 2401,Intel i5,32,2048,13.3,AMD Radeon,Windows 10,2.94,11.6,1817.12,3
MSI,Model 2402,Intel i7,16,2048,13.3,NVIDIA GTX 1650,Linux,1.61,9.6,2053.8,1
Asus,Model 2403,AMD Ryzen 7,32,2048,13.3,AMD Radeon,macOS,2.92,8.4,1827.65,2
Apple,Model 2404,Intel i9,32,256,13.3,Intel UHD,Linux,1.03,12.7,2865.72,3
Dell,Model 2405,AMD Ryzen 9,16,512,13.3,NVIDIA GTX 1650,Linux,1.54,5.9,1978.77,2
Acer,Model 2406,Intel i9,64,512,15.6,NVIDIA RTX 3070,Windows 10,1.16,13.6,2418.46,3
MSI,Model 2407,AMD Ryzen 7,32,1024,17.0,Intel UHD,Windows 10,2.95,9.7,2056.56,1
MSI,Model 2408,Intel i9,64,1024,15.6,AMD Radeon,Windows 10,2.89,10.3,2668.21,2
Razer,Model 2409,AMD Ryzen 9,32,256,15.6,AMD Radeon,Windows 11,3.03,13.5,2145.46,2
Apple,Model 2410,AMD Ryzen 5,32,256,15.6,NVIDIA RTX 3070,Linux,1.01,12.8,2910.82,2
Apple,Model 2411,Intel i7,16,2048,17.0,Intel UHD,macOS,2.25,10.2,2823.89,3
HP,Model 2412,AMD Ryzen 9,32,1024,15.6,NVIDIA RTX 3060,Windows 10,2.76,12.0,2127.82,3
MSI,Model 2413,Intel i5,8,512,15.6,NVIDIA RTX 3070,Windows 10,1.39,8.2,1962.57,2
HP,Model 2414,AMD Ryzen 7,8,2048,17.0,AMD Radeon,Linux,2.62,9.6,2058.05,3
HP,Model 2415,AMD Ryzen 5,16,512,15.6,NVIDIA GTX 1650,Linux,1.21,3.7,1594.62,2
Acer,Model 2416,Intel i5,64,2048,13.3,Intel UHD,Linux,1.45,4.1,1726.42,1
HP,Model 2417,Intel i5,64,512,14.0,NVIDIA RTX 3060,macOS,2.19,13.0,2207.29,2
Asus,Model 2418,AMD Ryzen 7,64,256,15.6,NVIDIA GTX 1650,Windows 11,2.63,3.7,1951.3,2
Lenovo,Model 2419,AMD Ryzen 5,8,2048,14.0,Intel UHD,Windows 11,1.36,5.0,1327.83,3
Dell,Model 2420,Intel i5,64,512,15.6,NVIDIA RTX 3070,Windows 10,1.46,12.5,2642.0,3
Apple,Model 2421,Intel i5,64,512,15.6,NVIDIA RTX 3070,Windows 11,1.51,3.0,3115.84,3
Asus,Model 2422,AMD Ryzen 5,16,1024,13.3,Intel UHD,macOS,1.6,6.4,1300.19,1
Dell,Model 2423,Intel i9,64,2048,17.0,NVIDIA RTX 3060,Windows 11,1.57,10.0,2744.88,1
MSI,Model 2424,Intel i5,8,512,14.0,Intel UHD,macOS,1.99,10.1,1268.03,1
MSI,Model 2425,Intel i7,8,1024,17.0,NVIDIA GTX 1650,Windows 10,2.63,12.3,2219.04,3
MSI,Model 2426,AMD Ryzen 5,8,512,13.3,NVIDIA GTX 1650,Linux,2.1,9.1,1825.11,2
Asus,Model 2427,Intel i5,16,2048,13.3,NVIDIA RTX 3070,macOS,2.94,9.1,1990.77,2
Asus,Model 2428,AMD Ryzen 7,16,256,14.0,Intel UHD,Linux,2.8,11.7,1608.55,2
Apple,Model 2429,AMD Ryzen 9,32,2048,17.0,NVIDIA RTX 3070,Windows 10,1.32,9.0,3240.29,3
Lenovo,Model 2430,Intel i7,64,2048,13.3,NVIDIA RTX 3060,macOS,1.12,10.3,2634.59,3
Razer,Model 2431,AMD Ryzen 9,16,512,15.6,NVIDIA GTX 1650,macOS,3.19,13.8,2048.25,1
HP,Model 2432,AMD Ryzen 9,8,512,15.6,AMD Radeon,Windows 11,1.2,7.8,1773.27,3
MSI,Model 2433,Intel i5,8,2048,15.6,AMD Radeon,macOS,1.37,7.6,1896.25,2
Acer,Model 2434,Intel i7,16,1024,17.0,Intel UHD,Windows 10,1.06,3.0,1413.0,1
Lenovo,Model 2435,Intel i7,16,1024,15.6,Intel UHD,Linux,2.57,10.4,1446.37,1
Acer,Model 2436,Intel i9,16,1024,15.6,AMD Radeon,macOS,2.46,3.4,1681.48,3
Apple,Model 2437,AMD Ryzen 9,32,512,13.3,Intel UHD,Windows 10,3.47,9.0,2373.91,1
Apple,Model 2438,Intel i7,8,512,13.3,NVIDIA GTX 1650,Windows 10,3.22,12.7,2157.99,1
Apple,Model 2439,Intel i9,32,2048,15.6,NVIDIA RTX 3060,macOS,2.03,9.6,2952.01,3
Dell,Model 2440,AMD Ryzen 5,32,256,15.6,NVIDIA RTX 3060,Windows 11,1.93,6.2,2089.64,1
Acer,Model 2441,Intel i9,64,512,13.3,NVIDIA RTX 3070,macOS,1.74,12.4,2658.42,2
Lenovo,Model 2442,AMD Ryzen 7,8,2048,14.0,NVIDIA GTX 1650,macOS,1.38,6.2,1600.16,3
Razer,Model 2443,Intel i5,8,2048,17.0,Intel UHD,Windows 11,1.35,11.8,2217.66,2
Lenovo,Model 2444,AMD Ryzen 5,16,256,17.0,Intel UHD,Windows 10,1.33,10.3,1312.25,2
Asus,Model 2445,AMD Ryzen 5,16,1024,13.3,NVIDIA RTX 3070,macOS,1.29,5.0,1940.52,2
Asus,Model 2446,AMD Ryzen 7,64,2048,17.0,NVIDIA RTX 3070,Windows 11,1.6,13.9,2777.83,2
MSI,Model 2447,Intel i9,32,2048,13.3,Intel UHD,Linux,1.77,5.4,2159.24,1
Razer,Model 2448,Intel i5,16,2048,13.3,Intel UHD,Linux,3.4,14.9,1876.14,1
Asus,Model 2449,Intel i9,16,1024,13.3,NVIDIA GTX 1650,Windows 11,2.45,3.1,1747.52,3
Apple,Model 2450,Intel i7,8,1024,13.3,NVIDIA RTX 3070,Windows 10,3.47,6.2,2555.37,3
Lenovo,Model 2451,Intel i9,8,256,14.0,NVIDIA GTX 1650,Windows 11,1.93,5.4,1491.43,2
Acer,Model 2452,AMD Ryzen 5,16,512,15.6,Intel UHD,Windows 10,2.14,3.2,1149.12,2
Apple,Model 2453,Intel i5,8,1024,15.6,AMD Radeon,Linux,1.81,11.8,2181.84,3
Dell,Model 2454,Intel i9,64,512,14.0,AMD Radeon,macOS,1.46,11.3,2487.21,3
Asus,Model 2455,Intel i5,16,512,17.0,Intel UHD,Windows 11,1.36,12.5,1755.99,3
Apple,Model 2456,Intel i5,8,1024,17.0,NVIDIA RTX 3070,Linux,3.36,6.1,2482.69,3
Apple,Model 2457,Intel i7,64,2048,15.6,AMD Radeon,macOS,3.47,8.3,2932.81,2
Dell,Model 2458,Intel i7,8,256,17.0,NVIDIA RTX 3070,Linux,1.11,10.9,2291.45,3
HP,Model 2459,AMD Ryzen 5,8,512,15.6,AMD Radeon,Windows 11,1.38,8.3,1497.9,1
Lenovo,Model 2460,AMD Ryzen 7,8,2048,15.6,NVIDIA RTX 3070,Windows 11,2.06,11.4,2163.19,2
Acer,Model 2461,Intel i5,16,1024,14.0,AMD Radeon,macOS,1.47,10.6,1428.2,1
MSI,Model 2462,AMD Ryzen 7,32,512,17.0,NVIDIA RTX 3070,Windows 11,1.91,4.4,2539.74,3
HP,Model 2463,AMD Ryzen 5,8,512,14.0,NVIDIA GTX 1650,Linux,1.32,12.4,1323.35,1
Asus,Model 2464,Intel i5,64,512,15.6,NVIDIA RTX 3070,macOS,2.14,11.6,2474.57,3
Apple,Model 2465,Intel i5,16,2048,15.6,NVIDIA GTX 1650,macOS,1.68,10.9,2531.59,1
Razer,Model 2466,AMD Ryzen 9,16,2048,15.6,NVIDIA GTX 1650,Linux,1.88,4.9,2311.01,2
